Spectrum #,Particle #,Frame ID,Cluster_ID,Mg_at%,Al_at%,O_at%,An er w%,Mg_w%,Al_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
57,32,,,,,,,,,,,,2,Total counts too low
58,35,,,6.91,36.16,56.92,14.01,9.32,54.15,50.54,0.99949,33.6,0,
59,35,,0,28.18,16.74,55.07,-1.49,33.44,22.05,43.02,0.99967,22.7,0,
60,35,,,,,,,,,,,,2,Total counts too low
61,36,,,,,,,,,,,,6,excessive X-ray absorption
62,36,,0,39.4,3.94,56.66,-4.76,46.29,5.13,43.82,0.99893,71.8,0,
63,36,,0,40.35,7.16,52.49,-2.8,47.34,9.33,40.54,0.99931,57.1,0,
64,36,,,14.84,22.95,62.21,-20.23,14.57,25.01,40.2,0.99896,40.0,0,
65,36,,,7.38,32.78,59.84,-10.42,7.95,39.2,42.43,0.99928,40.8,0,
66,39,,,,,,,,,,,,6,excessive X-ray absorption
67,39,,,,,,,,,,,,2,Total counts too low
68,41,,,,,,,,,,,,2,Total counts too low
69,42,,,,,,,,,,,,6,excessive X-ray absorption
70,42,,,21.18,21.52,57.3,-8.18,23.49,26.5,41.83,0.99917,34.6,0,
71,42,,0,35.71,9.6,54.69,0.43,43.54,13.0,43.89,0.99938,38.7,0,
72,42,,,37.19,8.91,53.89,5.68,47.6,12.67,45.41,0.99927,49.4,0,
73,42,,,,,,,,,,,,2,Total counts too low
74,43,,0,31.62,14.89,53.48,-4.72,36.14,18.9,40.24,0.99928,45.8,0,
75,43,,,29.1,18.41,52.49,17.06,40.51,28.45,48.1,0.99932,35.4,0,
76,43,,0,4.13,36.53,59.34,1.58,5.01,49.19,47.38,0.9997,22.8,0,
77,43,,0,40.06,8.04,51.9,0.08,48.22,10.74,41.13,0.99947,41.2,0,
78,43,,0,28.18,17.47,54.34,-2.85,32.85,22.61,41.69,0.99962,20.3,0,
79,44,,,33.69,12.99,53.32,-6.75,37.75,16.16,39.34,0.99941,39.3,0,
80,44,,0,12.39,29.88,57.74,-3.27,14.34,38.39,44.0,0.99936,37.4,0,
81,44,,,36.49,10.06,53.45,-6.12,41.35,12.66,39.87,0.99945,35.9,0,
82,44,,,,,,,,,,,,5,excessively high analytical error
83,44,,,35.5,11.81,52.69,-11.14,37.87,13.98,37.0,0.99917,51.3,0,
84,46,,0,1.33,37.06,61.61,-3.35,1.54,47.89,47.21,0.99952,36.8,0,
85,46,,0,17.02,25.65,57.33,-0.21,20.41,34.13,45.25,0.99912,47.6,0,
86,46,,0,21.39,22.92,55.69,-3.44,24.74,29.42,42.4,0.99926,45.6,0,
87,46,,,6.57,34.1,59.33,-7.0,7.32,42.16,43.51,0.99937,41.9,0,
88,46,,,4.92,34.8,60.28,-9.78,5.33,41.88,43.01,0.9995,35.0,0,
89,48,,,7.02,35.94,57.04,7.5,8.93,50.78,47.79,0.99913,57.1,0,
90,48,,0,12.2,29.24,58.55,2.74,15.07,40.08,47.59,0.9994,44.0,0,
91,48,,,34.45,11.55,54.0,-6.15,39.04,14.53,40.28,0.99959,27.9,0,
92,48,,,31.16,14.03,54.81,-7.88,34.66,17.33,40.14,0.99934,43.9,0,
93,48,,0,27.71,17.11,55.18,-1.46,32.89,22.54,43.11,0.99929,47.3,0,
94,49,,,18.72,23.39,57.89,-6.6,21.12,29.29,43.0,0.99912,47.2,0,
95,49,,0,37.47,8.62,53.91,3.09,46.81,11.96,44.33,0.9996,26.9,0,
96,49,,,,,,,,,,,,6,excessive X-ray absorption
97,49,,,9.35,32.2,58.45,-9.47,10.13,38.72,41.68,0.99924,46.0,0,
98,49,,,,,,,,,,,,2,Total counts too low
99,51,,0,39.91,9.16,50.93,2.41,48.89,12.46,41.07,0.99945,40.4,0,
100,51,,,26.46,20.78,52.76,-13.92,27.04,23.57,35.48,0.99887,49.9,0,
101,51,,,,,,,,,,,,6,excessive X-ray absorption
102,54,,,3.36,39.26,57.38,4.05,4.13,53.53,46.39,0.99961,30.0,8,too low
103,54,,,22.64,24.57,52.79,7.71,28.8,34.7,44.21,0.99921,36.5,0,
104,54,,,,,,,,,,,,6,excessive X-ray absorption
105,54,,0,4.28,37.59,58.12,2.71,5.22,50.86,46.63,0.99919,57.0,0,
106,54,,0,9.74,32.72,57.54,-3.25,11.22,41.87,43.66,0.99911,47.5,0,
107,55,,,39.33,7.87,52.8,-7.26,44.04,9.78,38.92,0.99912,56.3,0,
108,55,,0,40.49,7.01,52.5,-3.41,47.22,9.07,40.3,0.99909,65.5,0,
109,55,,0,36.88,9.67,53.45,-4.25,42.65,12.41,40.69,0.99944,33.3,0,
110,55,,0,14.59,29.27,56.14,-0.44,17.29,38.49,43.78,0.9991,49.7,0,
111,55,,,26.78,17.81,55.41,-9.28,29.26,21.6,39.86,0.99936,31.6,0,
112,57,,,12.13,27.85,60.02,-12.57,12.85,32.74,41.84,0.99944,27.8,0,
113,57,,,,,,,,,,,,6,excessive X-ray absorption
114,57,,,42.7,3.92,53.39,-24.04,39.46,4.02,32.48,0.99904,63.2,0,
115,57,,0,21.86,23.37,54.77,2.85,26.81,31.82,44.22,0.99922,41.4,0,
116,57,,,12.15,29.74,58.11,7.58,15.67,42.58,49.34,0.9993,33.6,0,
117,58,,,32.51,13.4,54.1,-7.16,36.36,16.64,39.84,0.99961,24.7,0,
118,58,,0,13.19,29.49,57.32,-2.78,15.33,38.04,43.85,0.99929,42.5,0,
119,58,,0,40.65,7.07,52.29,-3.3,47.41,9.15,40.14,0.99959,33.0,0,
120,58,,,38.45,8.92,52.63,-5.85,43.62,11.23,39.3,0.99953,33.1,0,
